dynamics,target,source,K,psi
chen,1,1,0.0,2.143902845501285
chen,1,1,0.02,2.1462452498317304
chen,1,1,0.04,2.1486352537114457
chen,1,1,0.06,2.149266592103193
chen,1,1,0.08,2.148963222081591
chen,1,1,0.1,2.1522947624969713
chen,1,1,0.12,2.1567740984790884
chen,1,1,0.14,2.1556109089964637
chen,1,1,0.16,2.1539084177467727
chen,1,1,0.18,2.153739631913683
chen,1,1,0.2,2.152768222987139
chen,1,1,0.22,2.1497181804203707
chen,1,1,0.24,2.148418179459836
chen,1,1,0.26,2.146329040953098
chen,1,1,0.28,2.146392445964172
chen,1,1,0.3,2.1415292496229696
chen,1,1,0.32,2.1386348502235175
chen,1,1,0.34,2.1342231609300186
chen,1,1,0.36,2.130858630706413
chen,1,1,0.38,2.1232848223240097
chen,1,1,0.4,2.118970872228927
chen,1,1,0.42,2.116008105709905
chen,1,1,0.44,2.109409274215893
chen,1,1,0.46,2.102870041783052
chen,1,1,0.48,2.093464790296712
chen,1,1,0.5,2.089304367715928
chen,1,1,0.52,2.080674922526204
chen,1,1,0.54,2.0737720830241098
chen,1,1,0.56,2.06599867173792
chen,1,1,0.58,2.056626356038149
chen,1,1,0.6,2.049565500903487
chen,1,1,0.62,2.0391591236928823
chen,1,1,0.64,2.0278159090829404
chen,1,1,0.66,2.0200661682486607
chen,1,1,0.68,2.01229692018059
chen,1,1,0.7000000000000001,1.9994112261937718
chen,1,1,0.72,1.9854873063928407
chen,1,1,0.74,1.979398705974398
chen,1,1,0.76,1.9698229947399493
chen,1,1,0.78,1.9625858103704332
chen,1,1,0.8,1.951671251045037
chen,1,1,0.8200000000000001,1.9395737631321532
chen,1,1,0.84,1.9340863192478652
chen,1,1,0.86,1.9240894654080345
chen,1,1,0.88,1.9178949213940126
chen,1,1,0.9,1.9099530899708927
chen,1,1,0.92,1.9028944232460314
chen,1,1,0.9400000000000001,1.8932607899293934
chen,1,1,0.96,1.8849858557952848
chen,1,1,0.98,1.875028961624598
chen,1,1,1.0,1.8633056657388003
chen,1,1,1.02,1.8517712482901203
chen,1,1,1.04,1.8434349477516339
chen,1,1,1.06,1.8323950622288476
chen,1,1,1.08,1.8186797460016442
chen,1,1,1.1,1.807786288284549
chen,1,1,1.12,1.7948029611355847
chen,1,1,1.1400000000000001,1.7806759819255864
chen,1,1,1.16,1.7670525092532094
chen,1,1,1.18,1.754075575207609
chen,1,1,1.2,1.742311636339192
chen,1,1,1.22,1.7272642731278987
chen,1,1,1.24,1.7148045098157154
chen,1,1,1.26,1.7006421349251237
chen,1,1,1.28,1.6889876811108815
chen,1,1,1.3,1.6802963114168603
chen,1,1,1.32,1.666241270820938
chen,1,1,1.34,1.6543866620445273
chen,1,1,1.36,1.6392284437462612
chen,1,1,1.3800000000000001,1.6264545812203144
chen,1,1,1.4000000000000001,1.6120520819729227
chen,1,1,1.42,1.5988551206710087
chen,1,1,1.44,1.5841552549763764
chen,1,1,1.46,1.5698598634040175
chen,1,1,1.48,1.5579299077775106
chen,1,1,1.5,1.546912170185004
chen,1,1,1.52,1.5340590852288778
chen,1,1,1.54,1.52341897114821
chen,1,1,1.56,1.5070054981703784
chen,1,1,1.58,1.4877571943348624
chen,1,1,1.6,1.4675603897705813
chen,1,1,1.62,1.4571857891092195
chen,1,1,1.6400000000000001,1.4479819917381955
chen,1,1,1.6600000000000001,1.4375617887931622
chen,1,1,1.68,1.4238198411958671
chen,1,1,1.7,1.4086839477670468
chen,1,1,1.72,1.39483895125856
chen,1,1,1.74,1.3765136222281853
chen,1,1,1.76,1.3619348383016179
chen,1,1,1.78,1.3473867383863838
chen,1,1,1.8,1.3343664765291523
chen,1,1,1.82,1.3201173512970266
chen,1,1,1.84,1.3023241186232992
chen,1,1,1.86,1.286865051609732
chen,1,1,1.8800000000000001,1.2736611921057155
chen,1,1,1.9000000000000001,1.255250895878024
chen,1,1,1.92,1.2397591308768832
chen,1,1,1.94,1.2225942381796626
chen,1,1,1.96,1.2035291560679677
chen,1,1,1.98,1.1792961191774096
chen,1,1,2.0,1.1646348599812217
chen,1,1,2.02,1.1530129348050886
chen,1,1,2.04,1.1376268850092757
chen,1,1,2.06,1.1213508329316524
chen,1,1,2.08,1.1064679107160582
chen,1,1,2.1,1.0903700856099927
chen,1,1,2.12,1.0692500550086614
chen,1,1,2.14,1.0463616640699096
chen,1,1,2.16,1.0271742601486147
chen,1,1,2.18,1.0049473325399882
chen,1,1,2.2,0.9888003335612986
chen,1,1,2.22,0.9788704968691759
chen,1,1,2.24,0.9663918935639089
chen,1,1,2.2600000000000002,0.9433104148142712
chen,1,1,2.2800000000000002,0.9297133791119222
chen,1,1,2.3000000000000003,0.9156594157440233
chen,1,1,2.32,0.9066802948845488
chen,1,1,2.34,0.8960764166500355
chen,1,1,2.36,0.8833381937706973
chen,1,1,2.38,0.870708303941316
chen,1,1,2.4,0.8566297548568097
chen,1,1,2.42,0.8376305868647757
chen,1,1,2.44,0.8226003201639186
chen,1,1,2.46,0.8100300865836799
chen,1,1,2.48,0.7892061888294044
chen,1,1,2.5,0.7735842295210865
chen,1,1,2.52,0.7550915846381105
chen,1,1,2.54,0.7413911782159253
chen,1,1,2.56,0.7254522225934946
chen,1,1,2.58,0.7095989970212125
chen,1,1,2.6,0.6932500595531206
chen,1,1,2.62,0.6748832725008923
chen,1,1,2.64,0.6529972394601388
chen,1,1,2.66,0.6405668192897699
chen,1,1,2.68,0.6210282837566011
chen,1,1,2.7,0.6047952740265529
chen,1,1,2.72,0.5848814948922351
chen,1,1,2.74,0.5676701389228421
chen,1,1,2.7600000000000002,0.5521432509642369
chen,1,1,2.7800000000000002,0.5372859455338774
chen,1,1,2.8000000000000003,0.5201873253856214
chen,1,1,2.82,0.502948169478546
chen,1,1,2.84,0.48278409329411404
chen,1,1,2.86,0.46313293052261284
chen,1,1,2.88,0.44361734146952975
chen,1,1,2.9,0.41685668298007206
chen,1,1,2.92,0.3931114094558479
chen,1,1,2.94,0.37494991240830094
chen,1,1,2.96,0.35379230200142875
chen,1,1,2.98,0.33330489221445075
chen,1,1,3.0,0.3054476981110438
chen,1,1,3.02,0.28283707406197584
chen,1,1,3.04,0.2524711660945036
chen,1,1,3.06,0.23612693646078942
chen,1,1,3.08,0.2143825121873166
chen,1,1,3.1,0.1902955232739775
chen,1,1,3.12,0.16580175744831624
chen,1,1,3.14,0.16393087526500313
chen,1,1,3.16,0.15630931602722217
chen,1,1,3.18,0.15023626289556233
chen,1,1,3.2,0.15136563018452306
chen,1,1,3.22,0.14924417823360867
chen,1,1,3.24,0.1444154589684708
chen,1,1,3.2600000000000002,0.13867863829127972
chen,1,1,3.2800000000000002,0.1314266372925186
chen,1,1,3.3000000000000003,0.11962205411939643
chen,1,1,3.3200000000000003,0.10654543496557073
chen,1,1,3.34,0.09174856365021956
chen,1,1,3.36,0.07625944281936317
chen,1,1,3.38,0.0638839933743607
chen,1,1,3.4,0.04965432356404424
chen,1,1,3.42,0.034696817128304074
chen,1,1,3.44,0.027918874513448835
chen,1,1,3.46,0.011684462094180849
chen,1,1,3.48,0.0025896762407873856
chen,1,1,3.5,-0.007078640276068641
chen,1,1,3.52,-0.015112933952685606
chen,1,1,3.54,-0.027630783091109657
chen,1,1,3.56,-0.04546014633589863
chen,1,1,3.58,-0.05600584188943911
chen,1,1,3.6,-0.06320183599421623
chen,1,1,3.62,-0.07201082432496012
chen,1,1,3.64,-0.07549506901346827
chen,1,1,3.66,-0.07643631210605438
chen,1,1,3.68,-0.07254912023226753
chen,1,1,3.7,-0.07761579260284905
chen,1,1,3.72,-0.07441956249154806
chen,1,1,3.74,-0.07291521680710601
chen,1,1,3.7600000000000002,-0.06997602128767046
chen,1,1,3.7800000000000002,-0.07286249721921782
chen,1,1,3.8000000000000003,-0.07412623133971662
chen,1,1,3.8200000000000003,-0.0754763760999328
chen,1,1,3.84,-0.08123332080899726
chen,1,1,3.86,-0.08581623476636586
chen,1,1,3.88,-0.09118664690051607
chen,1,1,3.9,-0.09557928986787893
chen,1,1,3.92,-0.09770679695457594
chen,1,1,3.94,-0.10305762206448717
chen,1,1,3.96,-0.10784525053635538
chen,1,1,3.98,-0.10726388554732301
chen,1,1,4.0,-0.11011266158635946
chen,1,1,4.0200000000000005,-0.11293966798512717
chen,1,1,4.04,-0.1139583423988999
chen,1,1,4.0600000000000005,-0.11829464818720381
chen,1,1,4.08,-0.12221698637089687
chen,1,1,4.1,-0.12351428672661095
chen,1,1,4.12,-0.120404724240724
chen,1,1,4.14,-0.122019598722882
chen,1,1,4.16,-0.12979244888004163
chen,1,1,4.18,-0.12749628371343233
chen,1,1,4.2,-0.12911927325226125
chen,1,1,4.22,-0.13249168262695044
chen,1,1,4.24,-0.13912147670700645
chen,1,1,4.26,-0.14812293024780185
chen,1,1,4.28,-0.1583853925540509
chen,1,1,4.3,-0.17084171907912724
chen,1,1,4.32,-0.17794467691838983
chen,1,1,4.34,-0.1931188045045647
chen,1,1,4.36,-0.20728118766544743
chen,1,1,4.38,-0.18332548161380105
chen,1,1,4.4,-0.17488849150789426
chen,1,1,4.42,-0.17273529859566858
chen,1,1,4.44,-0.17183534942259499
chen,1,1,4.46,-0.17299801692587194
chen,1,1,4.48,-0.17497377921460103
chen,1,1,4.5,-0.1820832069135154
chen,1,1,4.5200000000000005,-0.1846123592255524
chen,1,1,4.54,-0.19178519271435387
chen,1,1,4.5600000000000005,-0.1985931192798591
chen,1,1,4.58,-0.20333134588289928
chen,1,1,4.6000000000000005,-0.21347250749283564
chen,1,1,4.62,-0.22020415950129688
chen,1,1,4.64,-0.2282710746589719
chen,1,1,4.66,-0.23983806429922333
chen,1,1,4.68,-0.24759306540803697
chen,1,1,4.7,-0.25182519436619694
chen,1,1,4.72,-0.25707252383969514
chen,1,1,4.74,-0.26523966772493257
chen,1,1,4.76,-0.2764760614238178
chen,1,1,4.78,-0.27608820217631797
chen,1,1,4.8,-0.282541907037609
chen,1,1,4.82,-0.2889355606630969
chen,1,1,4.84,-0.2973997985167336
chen,1,1,4.86,-0.30617982968403223
chen,1,1,4.88,-0.31159279148846797
chen,1,1,4.9,-0.3174014212072819
chen,1,1,4.92,-0.3205128022743091
chen,1,1,4.94,-0.3268293415024668
chen,1,1,4.96,-0.33153760525537707
chen,1,1,4.98,-0.33599866379214344
chen,1,1,5.0,-0.3428018725243082
chen,1,1,5.0200000000000005,-0.34827810405264775
chen,1,1,5.04,-0.356292196859984
chen,1,1,5.0600000000000005,-0.3648726937503419
chen,1,1,5.08,-0.3732714562114813
chen,1,1,5.1000000000000005,-0.38347226783805355
chen,1,1,5.12,-0.39430697282647764
chen,1,1,5.14,-0.40549043640880933
chen,1,1,5.16,-0.41569448623037236
chen,1,1,5.18,-0.4300486946949973
