dynamics,target,source,K,psi
chen,2,2,0.0,2.143902845501285
chen,2,2,0.1,2.100476350337873
chen,2,2,0.2,2.0586787948200316
chen,2,2,0.30000000000000004,2.029070712633939
chen,2,2,0.4,1.9938435247841264
chen,2,2,0.5,1.9496585470399037
chen,2,2,0.6000000000000001,1.9159528681981741
chen,2,2,0.7000000000000001,1.8783397140196405
chen,2,2,0.8,1.8346016999008385
chen,2,2,0.9,1.794991879232219
chen,2,2,1.0,1.7521123767188713
chen,2,2,1.1,1.7110713926513803
chen,2,2,1.2000000000000002,1.6664400054036057
chen,2,2,1.3,1.6233609800525945
chen,2,2,1.4000000000000001,1.5739696409949337
chen,2,2,1.5,1.534196329604488
chen,2,2,1.6,1.4888126169748408
chen,2,2,1.7000000000000002,1.4448582712082843
chen,2,2,1.8,1.3993767237876498
chen,2,2,1.9000000000000001,1.3485306825535501
chen,2,2,2.0,1.2967500574507618
chen,2,2,2.1,1.2500845536839165
chen,2,2,2.2,1.2067858682608448
chen,2,2,2.3000000000000003,1.1608245972289895
chen,2,2,2.4000000000000004,1.1154446747053282
chen,2,2,2.5,1.064998564926399
chen,2,2,2.6,1.0293174442175663
chen,2,2,2.7,0.9860373370541312
chen,2,2,2.8000000000000003,0.9425328036875134
chen,2,2,2.9000000000000004,0.8930995090378471
chen,2,2,3.0,0.8518667006495301
chen,2,2,3.1,0.8159780934259222
chen,2,2,3.2,0.7841773163792262
chen,2,2,3.3000000000000003,0.7553063312555134
chen,2,2,3.4000000000000004,0.7292437014161193
chen,2,2,3.5,0.692770122666554
chen,2,2,3.6,0.6632116408004929
chen,2,2,3.7,0.6271691753095171
chen,2,2,3.8000000000000003,0.5957250294278373
chen,2,2,3.9000000000000004,0.5538651562817043
chen,2,2,4.0,0.5149804953847336
chen,2,2,4.1000000000000005,0.47140861617713387
chen,2,2,4.2,0.4276098159878605
chen,2,2,4.3,0.38555896997464006
chen,2,2,4.4,0.334684765949
chen,2,2,4.5,0.2983202942384816
chen,2,2,4.6000000000000005,0.2571496090884542
chen,2,2,4.7,0.21619217875435284
chen,2,2,4.800000000000001,0.18037417523506266
chen,2,2,4.9,0.14098198459234182
chen,2,2,5.0,0.10011777572918612
chen,2,2,5.1000000000000005,0.06429264963819153
chen,2,2,5.2,0.03230211604441308
chen,2,2,5.300000000000001,-0.0011491426764265202
chen,2,2,5.4,-0.03919755867154069
chen,2,2,5.5,-0.06725777549417548
chen,2,2,5.6000000000000005,-0.0945514120327243
chen,2,2,5.7,-0.11094019021850549
chen,2,2,5.800000000000001,-0.11962141883343143
chen,2,2,5.9,-0.13226021868014481
chen,2,2,6.0,-0.1452917005811403
chen,2,2,6.1000000000000005,-0.15226735575756334
chen,2,2,6.2,-0.161980830136882
