dynamics,target,source,K,psi
chua,2,2,0.0,0.4038525769915725
chua,2,2,0.01,0.3991534358609238
chua,2,2,0.02,0.3944412635854019
chua,2,2,0.03,0.3907018279550854
chua,2,2,0.04,0.3865902608710999
chua,2,2,0.05,0.38307521662206484
chua,2,2,0.06,0.3788491236774447
chua,2,2,0.07,0.37527483219331265
chua,2,2,0.08,0.3708725498834577
chua,2,2,0.09,0.36636781306147276
chua,2,2,0.1,0.363642329606064
chua,2,2,0.11,0.35946508492892393
chua,2,2,0.12,0.35428712152397196
chua,2,2,0.13,0.34883964421387115
chua,2,2,0.14,0.3438161201037782
chua,2,2,0.15,0.3372650004087976
chua,2,2,0.16,0.3307442108514816
chua,2,2,0.17,0.3295113235468151
chua,2,2,0.18,0.3256263591685426
chua,2,2,0.19,0.31964716798598236
chua,2,2,0.2,0.3149297473601228
chua,2,2,0.21,0.3100386435392238
chua,2,2,0.22,0.3044917826211783
chua,2,2,0.23,0.29978360833400725
chua,2,2,0.24,0.2949201364755637
chua,2,2,0.25,0.28900822181377117
chua,2,2,0.26,0.28365448625427325
chua,2,2,0.27,0.2764619889420494
chua,2,2,0.28,0.270169152149225
chua,2,2,0.29,0.2658458144234963
chua,2,2,0.3,0.258380012694864
chua,2,2,0.31,0.25286224929518025
chua,2,2,0.32,0.24572069967276303
chua,2,2,0.33,0.24204710464951962
chua,2,2,0.34,0.23700570591820527
chua,2,2,0.35000000000000003,0.23316700278939395
chua,2,2,0.36,0.22864553779138505
chua,2,2,0.37,0.22498373295707805
chua,2,2,0.38,0.22288600759358776
chua,2,2,0.39,0.2200404841338931
chua,2,2,0.4,0.2162784311199705
chua,2,2,0.41000000000000003,0.21341765624427383
chua,2,2,0.42,0.20968617620860172
chua,2,2,0.43,0.20473118390936024
chua,2,2,0.44,0.1986309310336838
chua,2,2,0.45,0.19325268769290233
chua,2,2,0.46,0.18915126914047525
chua,2,2,0.47000000000000003,0.1828955334447811
chua,2,2,0.48,0.17898178706115228
chua,2,2,0.49,0.1728076179341258
chua,2,2,0.5,0.1651449197455668
chua,2,2,0.51,0.16252353057351035
chua,2,2,0.52,0.1563263027414514
chua,2,2,0.53,0.15251933647003435
chua,2,2,0.54,0.14785698414009998
chua,2,2,0.55,0.13950701204167695
chua,2,2,0.56,0.1362295277569178
chua,2,2,0.5700000000000001,0.13050932742310958
chua,2,2,0.58,0.12300372722688518
chua,2,2,0.59,0.11561292387142631
chua,2,2,0.6,0.1064790612738173
chua,2,2,0.61,0.0989574187591164
chua,2,2,0.62,0.08911785042228659
chua,2,2,0.63,0.08332448135603933
chua,2,2,0.64,0.08082814345145918
chua,2,2,0.65,0.07671633329497726
chua,2,2,0.66,0.07448324530299627
chua,2,2,0.67,0.06856272946502105
chua,2,2,0.68,0.06123267921635401
chua,2,2,0.6900000000000001,0.05664249023154553
chua,2,2,0.7000000000000001,0.05093482260421219
chua,2,2,0.71,0.04320943483391427
chua,2,2,0.72,0.03579221032195614
chua,2,2,0.73,0.02744510681696245
chua,2,2,0.74,0.016381461609018048
chua,2,2,0.75,0.00697476906577934
chua,2,2,0.76,-0.006260576040752447
chua,2,2,0.77,-0.009352987741681298
chua,2,2,0.78,-0.00861922543529412
chua,2,2,0.79,-0.00984246596035995
chua,2,2,0.8,-0.008769702883265547
chua,2,2,0.81,-0.011187456626737736
chua,2,2,0.8200000000000001,-0.01291752701944765
chua,2,2,0.8300000000000001,-0.015241647975117078
chua,2,2,0.84,-0.015663109562586593
chua,2,2,0.85,-0.01950095157086492
chua,2,2,0.86,-0.02278394174622751
chua,2,2,0.87,-0.026754750088842694
chua,2,2,0.88,-0.027739734163082442
chua,2,2,0.89,-0.03024946634590954
chua,2,2,0.9,-0.034500713811749996
chua,2,2,0.91,-0.03970250338465508
chua,2,2,0.92,-0.04347746825233951
chua,2,2,0.93,-0.04452792883441859
chua,2,2,0.9400000000000001,-0.046928073946697686
chua,2,2,0.9500000000000001,-0.04974981181206338
chua,2,2,0.96,-0.05132775522727248
chua,2,2,0.97,-0.05427783262250789
chua,2,2,0.98,-0.055641447038078544
chua,2,2,0.99,-0.05936714500981644
chua,2,2,1.0,-0.06331653996683326
chua,2,2,1.01,-0.06476624301173782
chua,2,2,1.02,-0.06780204777401211
chua,2,2,1.03,-0.07257018826634343
chua,2,2,1.04,-0.07434672287713572
chua,2,2,1.05,-0.0761799580376065
chua,2,2,1.06,-0.07951224078231922
chua,2,2,1.07,-0.08432343846838623
chua,2,2,1.08,-0.08779345402312279
chua,2,2,1.09,-0.0924879775178524
chua,2,2,1.1,-0.09693642479843147
chua,2,2,1.11,-0.10216588914770204
chua,2,2,1.12,-0.10839608263666892
chua,2,2,1.1300000000000001,-0.11393668338713361
chua,2,2,1.1400000000000001,-0.11754327865559408
chua,2,2,1.1500000000000001,-0.12437020554771881
chua,2,2,1.16,-0.12955861948449401
chua,2,2,1.17,-0.1349872167631928
chua,2,2,1.18,-0.13899581320969995
chua,2,2,1.19,-0.14466270906451265
chua,2,2,1.2,-0.1497756863975586
chua,2,2,1.21,-0.15405528282376624
chua,2,2,1.22,-0.15574256516414167
chua,2,2,1.23,-0.15815450259431826
chua,2,2,1.24,-0.16250049859100638
chua,2,2,1.25,-0.16486459726266642
chua,2,2,1.26,-0.16909841390534053
chua,2,2,1.27,-0.17403531168887945
chua,2,2,1.28,-0.17842799689304817
chua,2,2,1.29,-0.1832621530720473
chua,2,2,1.3,-0.1884781381079697
chua,2,2,1.31,-0.19392335096180124
chua,2,2,1.32,-0.20105588814908631
chua,2,2,1.33,-0.2074862810244556
chua,2,2,1.34,-0.21314895373545953
chua,2,2,1.35,-0.21862310098344925
chua,2,2,1.36,-0.22418712528654328
chua,2,2,1.37,-0.22835098515956176
chua,2,2,1.3800000000000001,-0.2340168612304138
chua,2,2,1.3900000000000001,-0.23983237480614086
chua,2,2,1.4000000000000001,-0.24624662569061748
chua,2,2,1.41,-0.25202081131704734
chua,2,2,1.42,-0.2576672736498247
chua,2,2,1.43,-0.2642950364705716
chua,2,2,1.44,-0.2714898209245175
chua,2,2,1.45,-0.2761581183888318
chua,2,2,1.46,-0.2840357512623655
chua,2,2,1.47,-0.29044832679017785
chua,2,2,1.48,-0.29800462413598106
chua,2,2,1.49,-0.30325508613633495
chua,2,2,1.5,-0.3112213361043779
chua,2,2,1.51,-0.3172909164206138
chua,2,2,1.52,-0.32530942529404
chua,2,2,1.53,-0.3348464897110094
chua,2,2,1.54,-0.3421091443496006
chua,2,2,1.55,-0.351363344713329
chua,2,2,1.56,-0.35657939281965345
chua,2,2,1.57,-0.3566548650289049
chua,2,2,1.58,-0.36173295688942314
chua,2,2,1.59,-0.36448161082850233
chua,2,2,1.6,-0.37087463767667406
chua,2,2,1.61,-0.3759717568477551
chua,2,2,1.62,-0.3791077353103877
chua,2,2,1.6300000000000001,-0.38156990973469024
chua,2,2,1.6400000000000001,-0.3857501151568122
chua,2,2,1.6500000000000001,-0.3888168755186535
chua,2,2,1.6600000000000001,-0.39318674874559195
chua,2,2,1.67,-0.3984188912513576
chua,2,2,1.68,-0.40534246631413307
chua,2,2,1.69,-0.41321190784571604
chua,2,2,1.7,-0.41649773360303655
chua,2,2,1.71,-0.42276995793109345
chua,2,2,1.72,-0.4272037743139412
chua,2,2,1.73,-0.4340057897117028
chua,2,2,1.74,-0.4436985254817951
chua,2,2,1.75,-0.45197227259965433
chua,2,2,1.76,-0.45822348490599507
chua,2,2,1.77,-0.47102310740533215
chua,2,2,1.78,-0.4763179805229691
chua,2,2,1.79,-0.47653689742883193
chua,2,2,1.8,-0.4716927349297435
chua,2,2,1.81,-0.4728772401345109
chua,2,2,1.82,-0.4742586593737134
chua,2,2,1.83,-0.47702391119639054
chua,2,2,1.84,-0.4812742794798366
chua,2,2,1.85,-0.48675656953654545
chua,2,2,1.86,-0.49020122337428523
chua,2,2,1.87,-0.4953527197886226
chua,2,2,1.8800000000000001,-0.5019670305826511
chua,2,2,1.8900000000000001,-0.5085883132178688
chua,2,2,1.9000000000000001,-0.5129175023237463
chua,2,2,1.9100000000000001,-0.5199654983587487
chua,2,2,1.92,-0.5245660037551839
chua,2,2,1.93,-0.5307206373744872
chua,2,2,1.94,-0.5356581251078334
chua,2,2,1.95,-0.5399655942519448
chua,2,2,1.96,-0.5460151974868196
chua,2,2,1.97,-0.5529190353417196
chua,2,2,1.98,-0.5613934823624877
chua,2,2,1.99,-0.5678542213834188
chua,2,2,2.0,-0.5738671591934587
chua,2,2,2.0100000000000002,-0.5803389209774356
chua,2,2,2.02,-0.5873069531287705
chua,2,2,2.0300000000000002,-0.5950152275503127
chua,2,2,2.04,-0.6002428978374179
chua,2,2,2.05,-0.605265646884129
chua,2,2,2.06,-0.6090350100201279
chua,2,2,2.07,-0.6150764993918244
chua,2,2,2.08,-0.6217948806772075
chua,2,2,2.09,-0.629983507180467
chua,2,2,2.1,-0.6364085505662019
chua,2,2,2.11,-0.6450416751157295
chua,2,2,2.12,-0.6519971012572007
chua,2,2,2.13,-0.660829980939272
chua,2,2,2.14,-0.6720892715389295
chua,2,2,2.15,-0.6810014849227779
chua,2,2,2.16,-0.6875485406436829
chua,2,2,2.17,-0.6944557835835271
chua,2,2,2.18,-0.7025476090035713
chua,2,2,2.19,-0.708932421404011
chua,2,2,2.2,-0.7203771135236096
chua,2,2,2.21,-0.7300030070353053
chua,2,2,2.22,-0.7399085349967192
chua,2,2,2.23,-0.7439078318847461
chua,2,2,2.24,-0.7484779778376093
chua,2,2,2.25,-0.7572240430253542
chua,2,2,2.2600000000000002,-0.7665829794815122
chua,2,2,2.27,-0.7765098049225747
chua,2,2,2.2800000000000002,-0.7852213784613318
chua,2,2,2.29,-0.7929614183979414
chua,2,2,2.3000000000000003,-0.8037432824899577
chua,2,2,2.31,-0.8156029518653577
chua,2,2,2.32,-0.8322720582052187
chua,2,2,2.33,-0.8443798257509584
chua,2,2,2.34,-0.8536892134419233
chua,2,2,2.35,-0.8708540013231791
chua,2,2,2.36,-0.8811986546562108
chua,2,2,2.37,-0.8906275310741913
chua,2,2,2.38,-0.8994551191433432
chua,2,2,2.39,-0.9104069804119933
chua,2,2,2.4,-0.9186924129537618
chua,2,2,2.41,-0.9260653067107928
chua,2,2,2.42,-0.9277337800357638
chua,2,2,2.43,-0.9326071113915321
chua,2,2,2.44,-0.9338529103381582
chua,2,2,2.45,-0.9398017470522101
chua,2,2,2.46,-0.9443611645197414
chua,2,2,2.47,-0.9479380976732815
chua,2,2,2.48,-0.9540441757365632
chua,2,2,2.49,-0.9573848349349232
chua,2,2,2.5,-0.9621113889284593
chua,2,2,2.5100000000000002,-0.966501775533394
chua,2,2,2.52,-0.9714976814196834
chua,2,2,2.5300000000000002,-0.9781386258142956
chua,2,2,2.54,-0.9841412457133218
chua,2,2,2.5500000000000003,-0.9939298868928912
chua,2,2,2.56,-1.0009679748444658
chua,2,2,2.57,-1.0111653751894374
chua,2,2,2.58,-1.020979576702003
chua,2,2,2.59,-1.0313392522224463
chua,2,2,2.6,-1.0406990607492108
chua,2,2,2.61,-1.0517334547259012
chua,2,2,2.62,-1.0594835862255996
chua,2,2,2.63,-1.0640244460345363
chua,2,2,2.64,-1.065316026090651
chua,2,2,2.65,-1.0685547798679496
chua,2,2,2.66,-1.0746799916232843
chua,2,2,2.67,-1.0818396734965576
chua,2,2,2.68,-1.0890327974349707
chua,2,2,2.69,-1.096462308939848
chua,2,2,2.7,-1.0951926298619363
chua,2,2,2.71,-1.0947542163453217
chua,2,2,2.72,-1.0933522655374215
chua,2,2,2.73,-1.0955504075941125
chua,2,2,2.74,-1.093693795979279
chua,2,2,2.75,-1.0977188210656983
chua,2,2,2.7600000000000002,-1.0984392212341252
chua,2,2,2.77,-1.0997469246346205
chua,2,2,2.7800000000000002,-1.1042002102640036
chua,2,2,2.79,-1.107375994673391
chua,2,2,2.8000000000000003,-1.111006795030404
chua,2,2,2.81,-1.1146145520305966
chua,2,2,2.82,-1.116381012301387
chua,2,2,2.83,-1.1166571454568874
chua,2,2,2.84,-1.1197464757672122
chua,2,2,2.85,-1.124481231274368
chua,2,2,2.86,-1.1312107675032688
chua,2,2,2.87,-1.1390679921423683
chua,2,2,2.88,-1.151056839480201
chua,2,2,2.89,-1.163952753833924
chua,2,2,2.9,-1.1797527905191483
chua,2,2,2.91,-1.1851716769570166
chua,2,2,2.92,-1.199097360154064
chua,2,2,2.93,-1.1934498959347102
chua,2,2,2.94,-1.1928279822275418
chua,2,2,2.95,-1.1949434305431368
chua,2,2,2.96,-1.1937117474987096
chua,2,2,2.97,-1.1865825975681583
chua,2,2,2.98,-1.184268442929027
chua,2,2,2.99,-1.182458818581336
chua,2,2,3.0,-1.180841910694023
chua,2,2,3.0100000000000002,-1.1819076822388388
chua,2,2,3.02,-1.1888355536227373
chua,2,2,3.0300000000000002,-1.1928106171574044
chua,2,2,3.04,-1.1875814173431132
chua,2,2,3.0500000000000003,-1.1940894534536677
chua,2,2,3.06,-1.19943052827663
chua,2,2,3.0700000000000003,-1.201981909167416
chua,2,2,3.08,-1.2060618977447102
chua,2,2,3.09,-1.2080489502049359
chua,2,2,3.1,-1.2130267020310832
chua,2,2,3.11,-1.2158623315766435
chua,2,2,3.12,-1.2195929072559653
chua,2,2,3.13,-1.231941136682325
chua,2,2,3.14,-1.2365478767251175
chua,2,2,3.15,-1.2343831262265652
chua,2,2,3.16,-1.2376841598105746
chua,2,2,3.17,-1.2363671723956273
chua,2,2,3.18,-1.2376060378685603
chua,2,2,3.19,-1.242046444151178
chua,2,2,3.2,-1.248883544066928
chua,2,2,3.21,-1.2597654279322346
chua,2,2,3.22,-1.2778234289429413
chua,2,2,3.23,-1.2806147429499657
chua,2,2,3.24,-1.2862565273418678
chua,2,2,3.25,-1.2963534778533778
chua,2,2,3.2600000000000002,-1.3082535455677078
chua,2,2,3.27,-1.3305306425237207
chua,2,2,3.2800000000000002,-1.3468861797672935
chua,2,2,3.29,-1.3406267638425466
chua,2,2,3.3000000000000003,-1.3519782007774581
chua,2,2,3.31,-1.3711957337377674
chua,2,2,3.3200000000000003,-1.3731710604145264
chua,2,2,3.33,-1.3817745471621299
chua,2,2,3.34,-1.395613122231129
chua,2,2,3.35,-1.4120243764597313
chua,2,2,3.36,-1.4178906730750838
chua,2,2,3.37,-1.4217636677550256
chua,2,2,3.38,-1.4290127356719868
chua,2,2,3.39,-1.444241347212908
chua,2,2,3.4,-1.4727575359586045
chua,2,2,3.41,-1.4822125779008382
chua,2,2,3.42,-1.4747703201758742
chua,2,2,3.43,-1.427578918611629
chua,2,2,3.44,-1.3870391651577056
chua,2,2,3.45,-1.3547785037326452
chua,2,2,3.46,-1.3250466446347182
chua,2,2,3.47,-1.2965872688714362
chua,2,2,3.48,-1.2690174528813043
chua,2,2,3.49,-1.2422080848640316
chua,2,2,3.5,-1.2161150966889802
chua,2,2,3.5100000000000002,-1.1907234882659603
chua,2,2,3.52,-1.166026637787885
chua,2,2,3.5300000000000002,-1.142018347120524
chua,2,2,3.54,-1.1186899474498504
chua,2,2,3.5500000000000003,-1.0960295330117666
chua,2,2,3.56,-1.074022099505855
chua,2,2,3.5700000000000003,-1.0526500423239025
chua,2,2,3.58,-1.0318937619419486
chua,2,2,3.59,-1.0117322586002904
chua,2,2,3.6,-0.9921436640425914
chua,2,2,3.61,-0.9731056912023414
chua,2,2,3.62,-0.954595999554507
chua,2,2,3.63,-0.936592482107092
chua,2,2,3.64,-0.91907348360759
chua,2,2,3.65,-0.9020179605924018
chua,2,2,3.66,-0.8854055936121307
chua,2,2,3.67,-0.869216860998206
chua,2,2,3.68,-0.8534330823037393
chua,2,2,3.69,-0.838036438270777
chua,2,2,3.7,-0.8230099729724603
chua,2,2,3.71,-0.808337582703304
chua,2,2,3.72,-0.7940039952681348
chua,2,2,3.73,-0.7799947425449448
chua,2,2,3.74,-0.766296128561032
chua,2,2,3.75,-0.7528951948034027
chua,2,2,3.7600000000000002,-0.7397796840718731
chua,2,2,3.77,-0.7269380038545866
chua,2,2,3.7800000000000002,-0.7143591899460704
chua,2,2,3.79,-0.7020328708287648
chua,2,2,3.8000000000000003,-0.6899492331809819
chua,2,2,3.81,-0.6780989887559984
chua,2,2,3.8200000000000003,-0.6664733427850056
chua,2,2,3.83,-0.6550639639888897
chua,2,2,3.84,-0.6438629562323064
chua,2,2,3.85,-0.6328628318160708
chua,2,2,3.86,-0.6220564863772928
chua,2,2,3.87,-0.6114371753478631
chua,2,2,3.88,-0.6009984919085685
chua,2,2,3.89,-0.5907343463695188
chua,2,2,3.9,-0.5806389469007236
chua,2,2,3.91,-0.5707067815381152
chua,2,2,3.92,-0.5609326013866331
chua,2,2,3.93,-0.5513114049462398
chua,2,2,3.94,-0.5418384234865986
chua,2,2,3.95,-0.5325091074023206
chua,2,2,3.96,-0.523319113480201
chua,2,2,3.97,-0.5142642930161474
chua,2,2,3.98,-0.5053406807225548
chua,2,2,3.99,-0.4965444843701894
chua,2,2,4.0,-0.48787207511173825
chua,2,2,4.01,-0.47931997844017343
chua,2,2,4.0200000000000005,-0.47088486573476546
chua,2,2,4.03,-0.4625635463542014
chua,2,2,4.04,-0.45435296023697197
chua,2,2,4.05,-0.44625017097273517
chua,2,2,4.0600000000000005,-0.4382523593121476
chua,2,2,4.07,-0.43035681708338214
chua,2,2,4.08,-0.42256094148660317
chua,2,2,4.09,-0.414862229740218
chua,2,2,4.1,-0.4072582740540498
chua,2,2,4.11,-0.39974675690739997
chua,2,2,4.12,-0.39232544660975016
chua,2,2,4.13,-0.384992193125941
chua,2,2,4.14,-0.37774492414743643
chua,2,2,4.15,-0.37058164139215316
chua,2,2,4.16,-0.3635004171191553
chua,2,2,4.17,-0.35649939084230037
chua,2,2,4.18,-0.34957676623120776
chua,2,2,4.19,-0.34273080818550994
chua,2,2,4.2,-0.33595984007240337
chua,2,2,4.21,-0.329262241117492
chua,2,2,4.22,-0.3226364439359548
chua,2,2,4.23,-0.31608093219981986
chua,2,2,4.24,-0.3095942384290855
chua,2,2,4.25,-0.30317494189974403
chua,2,2,4.26,-0.29682166666294263
chua,2,2,4.2700000000000005,-0.2905330796664325
chua,2,2,4.28,-0.2843078889735438
chua,2,2,4.29,-0.2781448420733978
chua,2,2,4.3,-0.27204272427622855
chua,2,2,4.3100000000000005,-0.26600035718915
chua,2,2,4.32,-0.26001659726871545
chua,2,2,4.33,-0.25409033444419094
chua,2,2,4.34,-0.24822049080749817
chua,2,2,4.3500000000000005,-0.24240601936757242
chua,2,2,4.36,-0.23664590286400938
chua,2,2,4.37,-0.2309391526370027
chua,2,2,4.38,-0.2252848075504357
chua,2,2,4.39,-0.21968193296584074
chua,2,2,4.4,-0.21412961976289732
chua,2,2,4.41,-0.20862698340537117
chua,2,2,4.42,-0.20317316305040198
chua,2,2,4.43,-0.19776732069517805
chua,2,2,4.44,-0.19240864036546282
chua,2,2,4.45,-0.18709632733692017
chua,2,2,4.46,-0.18182960739234663
chua,2,2,4.47,-0.17660772611064995
chua,2,2,4.48,-0.17142994818616228
chua,2,2,4.49,-0.16629555677847005
chua,2,2,4.5,-0.16120385288806094
chua,2,2,4.51,-0.1561541547593246
chua,2,2,4.5200000000000005,-0.15114579730841526
chua,2,2,4.53,-0.14617813157419784
chua,2,2,4.54,-0.1412505241925116
chua,2,2,4.55,-0.13636235689160892
chua,2,2,4.5600000000000005,-0.1315130260073341
chua,2,2,4.57,-0.12670194201868845
chua,2,2,4.58,-0.12192852910101493
chua,2,2,4.59,-0.11719222469782924
chua,2,2,4.6000000000000005,-0.11249247910827516
chua,2,2,4.61,-0.10782875509092177
chua,2,2,4.62,-0.10320052748392466
chua,2,2,4.63,-0.09860728283785689
chua,2,2,4.64,-0.09404851906364013
chua,2,2,4.65,-0.0895237450941894
chua,2,2,4.66,-0.08503248055666211
chua,2,2,4.67,-0.08057425545971286
chua,2,2,4.68,-0.07614860988951877
chua,2,2,4.69,-0.07175509371885085
chua,2,2,4.7,-0.06739326632572412
chua,2,2,4.71,-0.06306269632254903
chua,2,2,4.72,-0.058762961294562606
chua,2,2,4.73,-0.054493647548368294
chua,2,2,4.74,-0.05025434986810547
chua,2,2,4.75,-0.04604467128144578
chua,2,2,4.76,-0.04186422283265924
chua,2,2,4.7700000000000005,-0.037712623364077755
chua,2,2,4.78,-0.033589499305028095
chua,2,2,4.79,-0.029494484467515666
chua,2,2,4.8,-0.025427219849440522
chua,2,2,4.8100000000000005,-0.021387353443755926
chua,2,2,4.82,-0.017374540054470918
chua,2,2,4.83,-0.01338844111846557
chua,2,2,4.84,-0.009428724533360057
chua,2,2,4.8500000000000005,-0.005495064490724341
chua,2,2,4.86,-0.001587141315006939
chua,2,2,4.87,0.002295358692614321
chua,2,2,4.88,0.006152743405214612
chua,2,2,4.89,0.009985315016432723
chua,2,2,4.9,0.013793370182042262
chua,2,2,4.91,0.01757720015719578
chua,2,2,4.92,0.02133709092930212
chua,2,2,4.93,0.02507332334694368
chua,2,2,4.94,0.028786173244572735
chua,2,2,4.95,0.03247591156362029
chua,2,2,4.96,0.03614280446996289
chua,2,2,4.97,0.0397871134675797
chua,2,2,4.98,0.04340909550901747
chua,2,2,4.99,0.04700900310230397
chua,2,2,5.0,0.05058708441548251
chua,2,2,5.01,0.05414358337680363
chua,2,2,5.0200000000000005,0.05767873977312229
chua,2,2,5.03,0.06119278934488124
chua,2,2,5.04,0.06468596387804368
chua,2,2,5.05,0.06815849129446283
chua,2,2,5.0600000000000005,0.07161059573880763
chua,2,2,5.07,0.07504249766263316
chua,2,2,5.08,0.07845441390727141
chua,2,2,5.09,0.08184655778406487
chua,2,2,5.1000000000000005,0.08521913915080268
chua,2,2,5.11,0.08857236448884326
chua,2,2,5.12,0.091906436975649
chua,2,2,5.13,0.09522155655636072
chua,2,2,5.14,0.09851792001366169
chua,2,2,5.15,0.10179572103506229
chua,2,2,5.16,0.10505515027902748
chua,2,2,5.17,0.1082963954388337
chua,2,2,5.18,0.11151964130494407
chua,2,2,5.19,0.11472506982573748
chua,2,2,5.2,0.1179128601666141
chua,2,2,5.21,0.1210831887676097
chua,2,2,5.22,0.12423622939944297
chua,2,2,5.23,0.1273721532175315
chua,2,2,5.24,0.1304911288163481
chua,2,2,5.25,0.13359332228018087
chua,2,2,5.26,0.13667889723407242
chua,2,2,5.2700000000000005,0.13974801489369626
chua,2,2,5.28,0.14280083411151218
chua,2,2,5.29,0.14583751142548562
chua,2,2,5.3,0.1488582011035262
chua,2,2,5.3100000000000005,0.1518630551890814
chua,2,2,5.32,0.15485222354247377
chua,2,2,5.33,0.15782585388605652
chua,2,2,5.34,0.16078409184230055
chua,2,2,5.3500000000000005,0.16372708097781918
chua,2,2,5.36,0.16665496283825948
chua,2,2,5.37,0.16956787699054335
chua,2,2,5.38,0.1724659610581884
chua,2,2,5.39,0.1753493507584696
chua,2,2,5.4,0.1782181799377463
chua,2,2,5.41,0.18107258060762296
chua,2,2,5.42,0.18391268297626379
chua,2,2,5.43,0.18673861548422777
chua,2,2,5.44,0.18955050483612843
chua,2,2,5.45,0.19234847603242242
chua,2,2,5.46,0.19513265239815655
chua,2,2,5.47,0.19790315561701516
chua,2,2,5.48,0.20066010575951773
chua,2,2,5.49,0.20340362130907144
chua,2,2,5.5,0.2061338191950244
chua,2,2,5.51,0.2088508148162013
chua,2,2,5.5200000000000005,0.21155472207058543
chua,2,2,5.53,0.21424565338029938
chua,2,2,5.54,0.2169237197169248
chua,2,2,5.55,0.21958903062902463
chua,2,2,5.5600000000000005,0.22224169426427326
chua,2,2,5.57,0.2248818173961367
chua,2,2,5.58,0.22750950544381443
chua,2,2,5.59,0.23012486249889244
chua,2,2,5.6000000000000005,0.23272799134764985
chua,2,2,5.61,0.2353189934906834
chua,2,2,5.62,0.2378979691655278
chua,2,2,5.63,0.24046501737102374
chua,2,2,5.64,0.24302023588198043
chua,2,2,5.65,0.24556372127646436
chua,2,2,5.66,0.24809556894897702
chua,2,2,5.67,0.2506158731346403
chua,2,2,5.68,0.2531247269272977
chua,2,2,5.69,0.25562222229515424
chua,2,2,5.7,0.2581084501043983
chua,2,2,5.71,0.26058350013289033
chua,2,2,5.72,0.2630474610873285
chua,2,2,5.73,0.2655004206249775
chua,2,2,5.74,0.26794246536577265
chua,2,2,5.75,0.2703736809113038
chua,2,2,5.76,0.272794151859664
chua,2,2,5.7700000000000005,0.27520396182335966
chua,2,2,5.78,0.2776031934408322
chua,2,2,5.79,0.27999192839716935
chua,2,2,5.8,0.282370247434635
chua,2,2,5.8100000000000005,0.28473823036808826
chua,2,2,5.82,0.2870959561020397
chua,2,2,5.83,0.28944350264032753
chua,2,2,5.84,0.2917809471027929
chua,2,2,5.8500000000000005,0.29410836574020566
