dynamics,target,source,K,psi
hr,1,0,0.0,0.011492821187916953
hr,1,0,0.005,0.010333652660891183
hr,1,0,0.01,0.014493803633807355
hr,1,0,0.015,0.016312579838431575
hr,1,0,0.02,0.023250812938931668
hr,1,0,0.025,0.02651951766388173
hr,1,0,0.03,0.030212116918050338
hr,1,0,0.035,0.03396938190635289
hr,1,0,0.04,0.036987660547880094
hr,1,0,0.045,0.03946316351488939
hr,1,0,0.05,0.041600904169032345
hr,1,0,0.055,0.04348936645333282
hr,1,0,0.06,0.045180261066353145
hr,1,0,0.065,0.04670787587404335
hr,1,0,0.07,0.04809662188791202
hr,1,0,0.075,0.04936469991941363
hr,1,0,0.08,0.05052612123515999
hr,1,0,0.085,0.05159190943280325
hr,1,0,0.09,0.05257084550045258
hr,1,0,0.095,0.0534699302378107
hr,1,0,0.1,0.05429464731905434
hr,1,0,0.105,0.05504905264994428
hr,1,0,0.11,0.05573565619163131
hr,1,0,0.115,0.05635495338010025
hr,1,0,0.12,0.05690416674597881
hr,1,0,0.125,0.05737370155006902
hr,1,0,0.13,0.05773485485503264
hr,1,0,0.135,0.05789778851142661
hr,1,0,0.14,0.05847760610816668
hr,1,0,0.145,0.05913843210933279
hr,1,0,0.15,0.05963305082287666
hr,1,0,0.155,0.060013581411673594
hr,1,0,0.16,0.06025627807914888
hr,1,0,0.165,0.059940579634817706
hr,1,0,0.17,0.06095482013123744
hr,1,0,0.17500000000000002,0.06154954769685995
hr,1,0,0.18,0.06200212914347345
hr,1,0,0.185,0.062383715192855384
hr,1,0,0.19,0.06271620168723474
hr,1,0,0.195,0.0630097654669449
hr,1,0,0.2,0.0632702244693336
hr,1,0,0.20500000000000002,0.06350135190771768
hr,1,0,0.21,0.06370580617294318
hr,1,0,0.215,0.06388556722286683
hr,1,0,0.22,0.06404216423737434
hr,1,0,0.225,0.06417680318724434
hr,1,0,0.23,0.06429044117859294
hr,1,0,0.23500000000000001,0.06438382949713034
hr,1,0,0.24,0.064457535905938
hr,1,0,0.245,0.06451195077473129
hr,1,0,0.25,0.06454727767466581
hr,1,0,0.255,0.06456350534022587
hr,1,0,0.26,0.06456035269355428
hr,1,0,0.265,0.06453716913634164
hr,1,0,0.27,0.06449275200733041
hr,1,0,0.275,0.06442499392186563
hr,1,0,0.28,0.06433013659972268
hr,1,0,0.28500000000000003,0.06420095974155934
hr,1,0,0.29,0.0640213302998353
hr,1,0,0.295,0.06374192616442746
hr,1,0,0.3,0.06285402273795372
hr,1,0,0.305,0.06350940008844987
hr,1,0,0.31,0.06365243138434797
hr,1,0,0.315,0.06367305496238475
hr,1,0,0.32,0.0636360232332886
hr,1,0,0.325,0.06355960267196294
hr,1,0,0.33,0.06345042498685223
hr,1,0,0.335,0.06331000110780298
