dynamics,target,source,K,psi
lorenz,2,2,0.0,0.8183261447818146
lorenz,2,2,0.1,0.7657336040293026
lorenz,2,2,0.2,0.7125384980235613
lorenz,2,2,0.30000000000000004,0.6577460597780117
lorenz,2,2,0.4,0.6016394200760111
lorenz,2,2,0.5,0.5442498096453217
lorenz,2,2,0.6000000000000001,0.4855742964830986
lorenz,2,2,0.7000000000000001,0.4256078181500981
lorenz,2,2,0.8,0.36435863521042666
lorenz,2,2,0.9,0.30186143527837445
lorenz,2,2,1.0,0.23819135042767117
lorenz,2,2,1.1,0.17347927414640144
lorenz,2,2,1.2000000000000002,0.10792616087359334
lorenz,2,2,1.3,0.041808261285650794
lorenz,2,2,1.4000000000000001,-0.02455253922398606
lorenz,2,2,1.5,-0.09097695545549438
lorenz,2,2,1.6,-0.16181979677544203
lorenz,2,2,1.7000000000000002,-0.2190362930797747
lorenz,2,2,1.8,-0.27423251846184943
lorenz,2,2,1.9000000000000001,-0.3269940951589129
lorenz,2,2,2.0,-0.3774710727312735
lorenz,2,2,2.1,-0.42559630378245333
lorenz,2,2,2.2,-0.46524855803198817
lorenz,2,2,2.3000000000000003,-0.5048314238469469
lorenz,2,2,2.4000000000000004,-0.5300981007940413
lorenz,2,2,2.5,-0.5522897338177599
lorenz,2,2,2.6,-0.5802110474466421
lorenz,2,2,2.7,-0.5917017703309132
lorenz,2,2,2.8000000000000003,-0.6028762993092117
lorenz,2,2,2.9000000000000004,-0.6189873441259558
lorenz,2,2,3.0,-0.6248419460263208
lorenz,2,2,3.1,-0.632541286788138
lorenz,2,2,3.2,-0.6313498377518206
lorenz,2,2,3.3000000000000003,-0.6322498116645324
lorenz,2,2,3.4000000000000004,-0.6432195192272606
lorenz,2,2,3.5,-0.6503758057114045
lorenz,2,2,3.6,-0.6576948097406063
lorenz,2,2,3.7,-0.6545012328814832
lorenz,2,2,3.8000000000000003,-0.6428989747200445
lorenz,2,2,3.9000000000000004,-0.6340761534208282
lorenz,2,2,4.0,-0.6296013422066382
lorenz,2,2,4.1000000000000005,-0.6293717876088735
lorenz,2,2,4.2,-0.6232328938418495
lorenz,2,2,4.3,-0.6182004049588878
