dynamics,coupling_strength,basin_stability,n_trials,successes,sync_failures,integration_failures,sync_time_mean,seconds
lorenz,0.6660129672975592,0.016,1000,16,984,0,77.71875,42.760320915986085
lorenz,0.6836346819314795,0.04,1000,40,960,0,79.99000000000001,40.94938795900089
lorenz,0.7012563965653997,0.104,1000,104,896,0,74.36057692307692,40.65358312500757
lorenz,0.71887811119932,0.188,1000,188,812,0,76.9590425531915,41.011413415981224
lorenz,0.7364998258332403,0.279,1000,279,721,0,77.7372759856631,40.08422904199688
lorenz,0.7541215404671604,0.346,1000,346,654,0,78.667774566474,39.94564129100763
lorenz,0.7717432551010807,0.388,1000,388,612,0,78.29742268041238,39.20659470901592
lorenz,0.7893649697350009,0.342,1000,342,658,0,77.2593567251462,53.00947287498275
lorenz,0.8069866843689212,0.269,1000,269,731,0,77.43141263940521,29.872554417001083
lorenz,0.8246083990028414,0.154,1000,154,846,0,73.55422077922078,30.570667958993
