created_at,dynamics,a,b,c,target,source,dt,transient_time,measurement_time,qr_interval_steps,K_min,K_max,n_K,zeros_json,zero_brackets_json,stable_intervals_json
2026-06-22T19:57:17.327425+00:00,lorenz,10,2,28,2,2,0.001,1000,5000,10,0,100,5001,"[1.37, 9.45, 48.33]","[[1.36, 1.3800000000000001], [9.44, 9.46], [48.32, 48.34]]","[[1.36, 9.46]]"
2026-06-22T20:22:28.403591+00:00,lorenz,10,2,28,2,2,0.001,5,10,10,0,5,11,[1.75],"[[1.5, 2.0]]",[]
2026-06-22T20:25:01.817947+00:00,lorenz,10,2,28,2,2,0.001,5,10,10,0,5,6,[1.5],"[[1.0, 2.0]]",[]
2026-06-22T20:26:23.564105+00:00,lorenz,10,2,28,2,2,0.001,1000,10000,10,0,100,8001,"[1.36875, 9.20625, 50.056250000000006]","[[1.3625, 1.375], [9.200000000000001, 9.2125], [50.050000000000004, 50.0625]]","[[1.3625, 9.2125]]"
2026-06-22T21:06:52.268179+00:00,lorenz,10,2,28,2,2,0.001,5,10,10,0,10,11,"[1.5, 5.5]","[[1.0, 2.0], [5.0, 6.0]]","[[1.0, 6.0]]"
2026-06-23T00:32:54.387759+00:00,lorenz,10,2,28,0,0,0.001,5,10,10,0,10,11,[7.5],"[[7.0, 8.0]]",[]
2026-06-23T00:41:21.280841+00:00,lorenz,10,2,28,2,2,0.01,5000,10000,10,0,100,1001,"[1.35, 9.25, 49.85000000000001]","[[1.3, 1.4000000000000001], [9.200000000000001, 9.3], [49.800000000000004, 49.900000000000006]]","[[1.3, 9.3]]"
2026-06-23T00:43:30.479128+00:00,lorenz,10,2,28,2,2,0.0050000000000000001,5000,10000,10,0,100,1001,"[1.35, 9.15, 50.35000000000001]","[[1.3, 1.4000000000000001], [9.1, 9.200000000000001], [50.300000000000004, 50.400000000000006]]","[[1.3, 9.200000000000001]]"
2026-06-23T00:45:11.940543+00:00,lorenz,10,2,28,2,2,0.0050000000000000001,5000,10000,10,0,100,1501,"[1.3666666666666667, 9.166666666666666, 50.36666666666667]","[[1.3333333333333333, 1.4], [9.133333333333333, 9.2], [50.333333333333336, 50.4]]","[[1.3333333333333333, 9.2]]"
2026-06-23T00:50:57.940547+00:00,lorenz,10,2,28,2,2,0.001,10,50,10,0,15,31,"[1.25, 7.75]","[[1.0, 1.5], [7.5, 8.0]]","[[1.0, 8.0]]"
2026-06-23T00:51:08.969723+00:00,lorenz,10,2,28,2,2,0.0050000000000000001,10,50,10,0,15,31,"[1.25, 6.75]","[[1.0, 1.5], [6.5, 7.0]]","[[1.0, 7.0]]"
2026-06-23T00:51:19.102630+00:00,lorenz,10,2,28,2,2,0.0050000000000000001,1,5,10,0,100,5,[12.5],"[[0.0, 25.0]]",[]
