dynamics,target,source,K,psi
rossler,0,2,0.0,0.07629772266090194
rossler,0,2,0.1,0.07974686048721377
rossler,0,2,0.2,0.08835291193970088
rossler,0,2,0.30000000000000004,0.09397555284315867
rossler,0,2,0.4,0.09627916391839769
rossler,0,2,0.5,0.0983890549805359
rossler,0,2,0.6000000000000001,0.10155509404475763
rossler,0,2,0.7000000000000001,0.10346123400782002
rossler,0,2,0.8,0.10423313563766046
rossler,0,2,0.9,0.10266780187829361
rossler,0,2,1.0,0.10378950984452867
rossler,0,2,1.1,0.10171014745898052
rossler,0,2,1.2000000000000002,0.10069056923426167
rossler,0,2,1.3,0.09941605626211097
rossler,0,2,1.4000000000000001,0.09979637460414621
rossler,0,2,1.5,0.09805463299457182
rossler,0,2,1.6,0.09544148786458127
rossler,0,2,1.7000000000000002,0.09283983660089214
rossler,0,2,1.8,0.09250600908272283
rossler,0,2,1.9000000000000001,0.08972711469562043
rossler,0,2,2.0,0.08176557435328721
rossler,0,2,2.1,0.07960051303629856
rossler,0,2,2.2,0.07640209321214309
rossler,0,2,2.3000000000000003,0.07733516758296717
rossler,0,2,2.4000000000000004,0.08041112619763639
rossler,0,2,2.5,0.08309565569402477
rossler,0,2,2.6,0.08523848753506408
rossler,0,2,2.7,0.08809707097153323
rossler,0,2,2.8000000000000003,0.08926659722537611
rossler,0,2,2.9000000000000004,0.09106280200740655
rossler,0,2,3.0,0.09285887345760138
rossler,0,2,3.1,0.09298224087554649
rossler,0,2,3.2,0.09496814405601112
rossler,0,2,3.3000000000000003,0.09625632008002805
rossler,0,2,3.4000000000000004,0.0972253033580974
rossler,0,2,3.5,0.09727437209304378
rossler,0,2,3.6,0.0959931323425858
rossler,0,2,3.7,0.09541565709028885
rossler,0,2,3.8000000000000003,0.09426338094827022
rossler,0,2,3.9000000000000004,0.09374343461205613
rossler,0,2,4.0,0.09207043696326488
rossler,0,2,4.1000000000000005,0.0941487223417329
rossler,0,2,4.2,0.09360024280598853
rossler,0,2,4.3,0.09267964145173814
rossler,0,2,4.4,0.09201132905219554
rossler,0,2,4.5,0.09077640754898554
rossler,0,2,4.6000000000000005,0.08860138065959944
rossler,0,2,4.7,0.08526833813685387
rossler,0,2,4.800000000000001,0.08170980826129103
rossler,0,2,4.9,0.07727754008296747
rossler,0,2,5.0,0.07330298699502912
rossler,0,2,5.1000000000000005,0.06642981679862138
rossler,0,2,5.2,0.07341744172452914
rossler,0,2,5.300000000000001,0.07493781932206697
rossler,0,2,5.4,0.07463274189295423
rossler,0,2,5.5,0.07406328043710327
rossler,0,2,5.6000000000000005,0.07583648662901935
rossler,0,2,5.7,0.07805150353009317
rossler,0,2,5.800000000000001,0.07881229083106132
rossler,0,2,5.9,0.0796379748290465
rossler,0,2,6.0,0.08098061848648824
rossler,0,2,6.1000000000000005,0.08170781242169171
rossler,0,2,6.2,0.08439339553404128
rossler,0,2,6.300000000000001,0.08531613511400364
rossler,0,2,6.4,0.08741450878638121
rossler,0,2,6.5,0.08921362905724267
rossler,0,2,6.6000000000000005,0.09052944673573207
rossler,0,2,6.7,0.0916819464129543
rossler,0,2,6.800000000000001,0.0922758703363327
rossler,0,2,6.9,0.09246706562401624
rossler,0,2,7.0,0.09223801562575198
rossler,0,2,7.1000000000000005,0.09104250683673112
rossler,0,2,7.2,0.0907051158787523
rossler,0,2,7.300000000000001,0.09094304866859318
rossler,0,2,7.4,0.09012228567342098
rossler,0,2,7.5,0.08911099796717276
rossler,0,2,7.6000000000000005,0.08816761093344898
rossler,0,2,7.7,0.08636007463152585
rossler,0,2,7.800000000000001,0.08527501868048032
rossler,0,2,7.9,0.08352565919986844
rossler,0,2,8.0,0.08186524779470611
rossler,0,2,8.1,0.0798760735624891
rossler,0,2,8.200000000000001,0.07798844248669703
rossler,0,2,8.3,0.0754245484034458
rossler,0,2,8.4,0.07217654622699636
rossler,0,2,8.5,0.06808150628166953
rossler,0,2,8.6,0.06234712602288522
rossler,0,2,8.700000000000001,0.059781996570114966
rossler,0,2,8.8,0.058111418773446416
rossler,0,2,8.9,0.059244270809890386
rossler,0,2,9.0,0.05899828889142928
rossler,0,2,9.1,0.059461335148232694
rossler,0,2,9.200000000000001,0.06306587938652673
rossler,0,2,9.3,0.06351504371838324
rossler,0,2,9.4,0.06712011653268489
rossler,0,2,9.5,0.06841071283220221
rossler,0,2,9.600000000000001,0.07139094165247857
rossler,0,2,9.700000000000001,0.07247777167795565
rossler,0,2,9.8,0.0733115994954501
rossler,0,2,9.9,0.07378030092875319
rossler,0,2,10.0,0.07583360911144219
rossler,0,2,10.100000000000001,0.07718718211610788
rossler,0,2,10.200000000000001,0.07833158849047786
rossler,0,2,10.3,0.07884922476589057
rossler,0,2,10.4,0.07873652839031495
rossler,0,2,10.5,0.0774867312738793
rossler,0,2,10.600000000000001,0.07793584284887893
rossler,0,2,10.700000000000001,0.07899192626187702
rossler,0,2,10.8,0.07982651332328747
rossler,0,2,10.9,0.08081388847094781
rossler,0,2,11.0,0.08205734385097815
